"","taxa","otu","otus","anterior dentation of pectoral fin spine","anterior distal serration of pectoral fin spine","anterior limb of parapophysis 4","anterior nuchal plate","arch of atlas","basipterygium bone","centrum 1","distal cartilage of external anterior process of basipterygium","distal cartilage of internal anterior process of basipterygium","distal cartilage of posterior process of basipterygium","entopterygoid vertical strut","epibranchial 2 bone uncinate process","epibranchial 4 bone uncinate process","epioccipital posterior process","external anterior process of basipterygium","hypobranchial 1 bone distal cartilage","hypobranchial 2 bone distal cartilage","hypurapophysis","intercalarium","internal anterior process of basipterygium","lateral ethmoid palatine process","lateral ethmoid wing","lateral process of basipterygium","mesethmoid cornu","middle anterior process of basipterygium","middle nuchal plate","neural lamina","optic foramen","parapophysis","parapophysis 1","parapophysis 2","parapophysis 4","parapophysis 5","parapophysis 6","pelvic girdle bone/zone","posterior cleithral process","posterior dentation of dorsal fin spine 2","posterior dentation of pectoral fin spine","posterior limb of parapophysis 4","posterior nuchal plate","posterior process of basipterygium","posttemporal fossa","preopercle horizontal limb","quadrate dorsal process","quadrate ventral process","scaphium","sphenotic spine","superficial ophthalmic nerve foramen","supraoccipital crest","transverse process of atlas","type 1 odontode","urohyal lateral process","urohyal median process","uroneural","Weberian complex centrum","zygapophysis"
"43","Ameiurus natalis","VTO_0036274","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,"1","1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","1","1",NA,"1",NA,"1","1","1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,"1","1",NA,"1",NA,"1",NA,NA,NA,"1","1","1",NA,NA,"1","1",NA,"1",NA
"44","Ameiurus nebulosus","VTO_0036278","t6abf9436-7a24-4b98-8447-177c6f39540e","1","1","1","1","1","1","1","1","1","1","0",NA,"1 and 0","1 and 0","1","1","1","1","1","1",NA,"1","1","1",NA,"1","1 and 0","1","1","1 and 0","1 and 0","1","1",NA,"1","1",NA,"1","1","1","1","1","1 and 0",NA,"0","1","1","1 and 0","1","1","0","1","1",NA,"1 and 0","0"
"45","Ameiurus platycephalus","VTO_0036276","t6abf9436-7a24-4b98-8447-177c6f39540e","1","1","1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,"1","1","1",NA,"1",NA,"1","1",NA,NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"1","1","1",NA,NA,"1","1",NA,"1",NA
"46","Ameiurus serracanthus","VTO_0036277","t6abf9436-7a24-4b98-8447-177c6f39540e","1","1","1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,"1","1","1",NA,"1",NA,"1","1",NA,NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"1","1","1",NA,NA,"1","1",NA,"1",NA
"47","Ameiurus sp. (de Pinna 1993)","VTO_0061487","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"48","Amissidens hainesi","VTO_0035690","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"49","Amphiliidae","VTO_0035591","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","0 and 1"
"50","Amphilius atesuensis","VTO_0035610","t6abf9436-7a24-4b98-8447-177c6f39540e","1 and 0",NA,"1","0",NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","0","1",NA,"1","1",NA,NA,"1 and 0",NA,"1","1",NA,"1",NA,NA,"1","1",NA,"1","1",NA,NA,"1","1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1","1",NA,"1",NA
"51","Amphilius brevis","VTO_0061242","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,"1",NA,"1",NA,"1","1",NA,"0",NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,"1",NA,NA,"1","1",NA,"1","0",NA,"0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"52","Amphilius cryptobullatus","VTO_0061244","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,"1",NA,"1",NA,"1","1",NA,"0",NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,"1",NA,NA,"1","1",NA,"1","0",NA,"0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"53","Amphilius jacksonii","VTO_0061236","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1","1",NA,"1",NA,"1","1","1","0",NA,"1 and 0","0","1","1","0",NA,NA,"1",NA,NA,NA,"1",NA,"1","1",NA,"1",NA,NA,"1","1",NA,"1","0",NA,"0","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"54","Amphilius longirostris","VTO_0061246","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1","1","1","1",NA,"1","1",NA,"0",NA,NA,"1 and 0","1",NA,NA,NA,"1","1",NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","0 and 1",NA,"0",NA,"1","1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"55","Amphilius platychir","VTO_0035608","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","0",NA,NA,"1",NA,NA,NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"56","Amphilius rheophilus","VTO_0035613","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","0",NA,NA,"1",NA,NA,NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"57","Amphilius uranoscopus","VTO_0061241","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1","1","1","1",NA,"1","1",NA,"0",NA,NA,"1 and 0","1",NA,NA,NA,"1","1",NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","0 and 1",NA,"0",NA,"1","1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"58","Anadoras grypus","VTO_0036665","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"59","Anaspidoglanis macrostomus","VTO_0061437","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"60","Ancharius","VTO_0059559","t6abf9436-7a24-4b98-8447-177c6f39540e","1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,"1","1",NA,NA,"1",NA,NA,NA,"1","1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"61","Ancharius fuscus","VTO_0059561","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0",NA,"1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"62","Ancistrus pirareta","VTO_0037279","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,"0 and 1",NA,"1 and 0",NA,NA,NA,"1",NA
"63","Ancistrus sp. (Armbruster 2004)","VTO_0059954","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,"0 and 1",NA,"1 and 0",NA,NA,NA,"1",NA
"64","Ancistrus sp. (Britto 2003)","VTO_0059973","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"65","Ancistrus stigmaticus","VTO_0059937","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"0","1","0",NA,NA,NA,"0",NA,NA,"1 and 0","1",NA,NA,NA,"0","1",NA,NA,NA,"1 and 0",NA,"1","1 and 0","0","1","0",NA,"1","1",NA,"1","0",NA,"1",NA,NA,"1",NA,NA,NA,NA,"0",NA,"1 and 0","1","0",NA,"1",NA,NA,"1",NA
"66","Andersonia leptura","VTO_0061259","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1","1",NA,"1",NA,"1","1","1","0",NA,"1 and 0","0","1","1","0",NA,NA,"1",NA,"1",NA,"1",NA,"1","1",NA,"1",NA,NA,"1","1",NA,"1","0",NA,"0","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"67","Anduzedoras oxyrhynchus","VTO_0036679","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","1","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"1",NA
"68","Anodontiglanis dahli","VTO_0060474","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1","0","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"69","Aphanotorulus ammophilus","VTO_0036842","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,"0 and 1",NA,"1 and 0",NA,NA,NA,"1",NA
"70","Aphanotorulus unicolor","VTO_0060261","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,"0 and 1",NA,"1 and 0",NA,NA,NA,"1",NA
"71","Ariidae","VTO_0035668","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","0 and 1"
"72","Ariopsis felis","VTO_0035683","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1","1","1","1",NA,"1","1","1","0",NA,"1 and 0","1","1","1","1","1","1","1",NA,"1",NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,"1","1","1","1","1",NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1","1",NA,"1",NA
"73","Ariopsis latirostris","VTO_0059715","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"74","Arius africanus","VTO_0059756","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,"1","1","1",NA,NA,"1 and 0","1","1","1","1",NA,"1","1",NA,"1",NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1","1",NA,"1",NA
"75","Arius arenarius","VTO_0059762","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"76","Arius arius","VTO_0035819","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1","1",NA,NA,NA,NA,"1",NA,"1",NA,"1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1","1",NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"77","Arius maculatus","VTO_0035809","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","1","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"78","Arius madagascariensis","VTO_0035817","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","1","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"79","Arius manillensis","VTO_0035810","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"1",NA,"1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"80","Arius sp. (Royero 1999)","VTO_0059766","t6abf9436-7a24-4b98-8447-177c6f39540e","1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,"1","1",NA,NA,"1",NA,NA,NA,"1","1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"81","Aspidoras aff. poecilus (Britto 2003)","VTO_0061356","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"82","Aspidoras albater","VTO_0035210","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"83","Aspidoras belenos","VTO_0061357","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"84","Aspidoras fuscoguttatus","VTO_0035205","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"85","Aspidoras microgalaeus","VTO_0035216","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"86","Aspidoras pauciradiatus","VTO_0035204","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1 and 0","0","0",NA,NA,"1 and 0","0","1","1","1",NA,NA,"1",NA,"1",NA,"1 and 0",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"87","Aspidoras poecilus","VTO_0035206","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"88","Aspidoras rochai","VTO_0061359","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"89","Aspidoras virgulatus","VTO_0061354","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"90","Aspistor hardenbergi","VTO_0059710","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"91","Aspredinichthys filamentosus","VTO_0059315","t6abf9436-7a24-4b98-8447-177c6f39540e","1",NA,"0","1 and 0",NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,"1","1",NA,"1",NA,NA,"1",NA,NA,"1",NA,"1","1",NA,"1 and 0","0","0","1 and 0","1 and 0","0","1","1",NA,NA,"0","1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"92","Aspredinichthys tibicen","VTO_0059314","t6abf9436-7a24-4b98-8447-177c6f39540e","1",NA,"1 and 0","1 and 0","1","1",NA,"1","1","1",NA,NA,"1 and 0","1 and 0","1 and 0","1","1","1","1","0","1","1",NA,"1",NA,"1","1","1","1 and 0","0","0","1 and 0","1 and 0","0","1","1",NA,NA,"1 and 0","1","1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1","1",NA,"1",NA
"93","Aspredinidae","VTO_0035848","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","0 and 1"
"94","Aspredo aspredo","VTO_0059355","t6abf9436-7a24-4b98-8447-177c6f39540e","1",NA,"1 and 0","1 and 0","1","1",NA,"1","1","1",NA,NA,"1 and 0","1 and 0","1 and 0","1","1","1","1","0","1","1",NA,"1",NA,"1","1","1","1 and 0","0","0","1 and 0","1 and 0","0","1","1",NA,NA,"1 and 0","1","1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1","1",NA,"1",NA
"95","Asterophysus batrachus","VTO_0060595","t6abf9436-7a24-4b98-8447-177c6f39540e","1",NA,"1","1",NA,"1",NA,"1","1","1",NA,NA,"1 and 0","1","1","1","1",NA,NA,"1",NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1","1",NA,"1","1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"0","0",NA,"1",NA
"96","Astroblepidae","VTO_0034992","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","0 and 1"
"97","Astroblepus chotae","VTO_0060687","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"0","0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,"0",NA,NA,"1 and 0","0","0","0","0","0","1",NA,NA,"1","0","0","1",NA,NA,NA,"0",NA,NA,NA,"0 and 1",NA,"1 and 0",NA,NA,NA,"1",NA
"98","Astroblepus festae","VTO_0060667","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"0","1","0",NA,NA,NA,"0",NA,NA,"1 and 0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,"1","1 and 0","0","1","0",NA,"1","1",NA,"1","0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"0",NA,"1 and 0","1","0",NA,"1",NA,NA,"1",NA
"99","Astroblepus festae sp. 1 (Mo 1991)","VTO_0060647","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"0","1","0",NA,NA,NA,"0",NA,NA,"1 and 0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,"1","1 and 0","0","1","0",NA,"1","1",NA,"1","0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"0",NA,"1 and 0","1","0",NA,"1",NA,NA,"1",NA
"100","Astroblepus festae sp. 2 (Mo 1991)","VTO_0060666","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"0","1","0",NA,NA,NA,"0",NA,NA,"1 and 0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,"1","1 and 0","0","1","0",NA,"1","1",NA,"1","0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"0",NA,"1 and 0","1","0",NA,"1",NA,NA,"1",NA
"101","Astroblepus festae sp. 3 (Mo 1991)","VTO_0060683","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"0","1","0",NA,NA,NA,"0",NA,NA,"1 and 0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,"1","1 and 0","0","1","0",NA,"1","1",NA,"1","0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"0",NA,"1 and 0","1","0",NA,"1",NA,NA,"1",NA
"102","Astroblepus grixalvii","VTO_0060656","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1 and 0",NA,NA,"1",NA,"1 and 0","0","0",NA,NA,"1 and 0","0","1","1","0 and 1",NA,NA,"1",NA,"1",NA,"1 and 0",NA,NA,"1",NA,"1 and 0","0","0","1 and 0","1 and 0","0","1",NA,NA,"1","1 and 0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"103","Astroblepus heterodon","VTO_0060698","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"0","1","0",NA,NA,NA,"0",NA,NA,"1 and 0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,"1","1 and 0","0","1","0",NA,"1","1",NA,"1","0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"0",NA,"1 and 0","1","0",NA,"1",NA,NA,"1",NA
